Key,en,es,ar,fr,hi
notification,Notification,Notificación,إشعار,Notification,अधिसूचना
withdraw,Withdraw,Retirar,ينسحب,Retirer,निकालना
preview,Preview,Avance,معاينة,Aperçu,पूर्व दर्शन
amount Information,Amount Information,Información de cantidad,معلومات المبلغ,Informations sur le montant,राशि की जानकारी
transfer Fee,Transfer Fee:,Tarifa de transferencia:,رسوم النقل:,Frais de transfert :,स्थानांतरण शुल्क:
transfer Fees,Transfer Fee,Tarifa de transferencia,رسوم النقل,Frais de transfert,स्थानांतरण शुल्क
recipient Received,Recipient Received,Destinatario recibido,تم استلام المستلم,Destinataire reçu,प्राप्तकर्ता को प्राप्त हुआ
total Payable,Total Payable,Total a pagar,مجموع المستحق الدفع,Total à payer,कुल देय
confirm Send,Confirm Send,Confirmar envío,تأكيد الإرسال,Confirmer l'envoi,भेजने की पुष्टि करें
your Money Withdraw Success,Your money has been withdraw Successfully. Thanks for using,Su dinero ha sido retirado con éxito. Gracias por usar,لقد تم سحب أموالك بنجاح. شكرا للاستخدام,Votre argent a été retiré avec succès. Merci d'avoir utilisé,आपका पैसा सफलतापूर्वक निकाल लिया गया है। उपयोग करने के लिए धन्यवाद
transaction History,Transaction History,Historial de transacciones,تاريخ المعاملات,Historique des transactions,ट्रांजेक्शन इतिहास
current Amount,Current Amount,Monto actual,المبلغ الحالي,Montant actuel,वर्तमान राशि
card Information,Card Information,Información de la tarjeta,معلومات البطاقة,Informations sur la carte,कार्ड की जानकारी
yes,Yes,Sí,نعم,Oui,हाँ
no,no,No,لا,Non,नहीं
your Money Added Succes,Your money has been deposit Successfully. Thanks for using,Su dinero ha sido depositado exitosamente. Gracias por usar,لقد تم إيداع أموالك بنجاح. شكرا للاستخدام,Votre argent a été déposé avec succès. Merci d'avoir utilisé,आपका पैसा सफलतापूर्वक जमा हो गया है। उपयोग करने के लिए धन्यवाद
your Card Success,"Your card has been create Successfully, Thanks for using .",Su tarjeta se ha creado con éxito. Gracias por usarla.,لقد تم إنشاء بطاقتك بنجاح، شكرًا لاستخدامك.,"Votre carte a été créée avec succès, merci d'utiliser .","आपका कार्ड सफलतापूर्वक बन गया है, उपयोग करने के लिए धन्यवाद।"
add Money Successfully,"Your fund has been add Successfully,Thanks for using",Su fondo se ha agregado correctamente. Gracias por usarlo.,تمت إضافة صندوقك بنجاح، شكرًا لاستخدامك,"Votre fonds a été ajouté avec succès, merci d'utiliser","आपका फंड सफलतापूर्वक जोड़ दिया गया है, उपयोग करने के लिए धन्यवाद"
plz Enter Amount,Please enter amount,Por favor ingrese la cantidad,الرجاء إدخال المبلغ,Veuillez entrer le montant,कृपया राशि दर्ज करें
no Record Found,No Record Found!,¡No se encontró ningún registro!,لم يتم العثور على سجل!,Aucun enregistrement trouvé !,कोई रिकॉर्ड नहीं मिला!
pending,Pending,Pendiente,قيد الانتظار,En attente,लंबित
Verified,Verified,Verificado,تم التحقق منه,Vérifié,सत्यापित
total Fee,Total Fee,Tarifa total,إجمالي الرسوم,Frais totaux,कुल शुल्क
you Don Not Buy Card,"You didnt purchase any card yet, Please purchase a new card",Aún no compraste ninguna tarjeta. Compra una tarjeta nueva.,لم تقم بشراء أي بطاقة بعد، يرجى شراء بطاقة جديدة,"Vous n'avez encore acheté aucune carte, veuillez en acheter une nouvelle.","आपने अभी तक कोई कार्ड नहीं खरीदा, कृपया नया कार्ड खरीदें"
currency,Currency,Divisa,عملة,Devise,मुद्रा
brand,Brand,Marca,ماركة,Marque,ब्रांड
remove Default,Remove Default,Eliminar valor predeterminado,إزالة الافتراضي,Supprimer la valeur par défaut,डिफ़ॉल्ट हटाएँ
virtual,Virtual Card,Tarjeta virtual,البطاقة الافتراضية,Carte virtuelle,आभासी कार्ड
reveal Details,Reveal Details,Revelar detalles,كشف التفاصيل,Révéler les détails,विवरण प्रकट करें
you Can Use Virtual Card Instantly,You can use virtual cards instantly.,Puedes utilizar tarjetas virtuales al instante.,يمكنك استخدام البطاقات الافتراضية على الفور.,Vous pouvez utiliser des cartes virtuelles instantanément.,आप वर्चुअल कार्ड का तुरंत उपयोग कर सकते हैं.
money Transfer,Money Transfer,Transferencia de dinero,تحويل الأموال,Transfert d'argent,मनी ट्रांसफर
please Fill The Amount,Please fill the amount,Por favor complete la cantidad,يرجى ملء المبلغ,Veuillez remplir le montant,कृपया राशि भरें
please Follow The Limit,Please! Follow the Limit.,¡Por favor! Sigue el límite.,لو سمحت! اتبع الحد.,S'il te plaît! Suivez la limite.,कृपया! सीमा का पालन करें.
receiver Email,Receiver Email,Correo electrónico del destinatario,البريد الإلكتروني المتلقي,E-mail du destinataire,प्राप्तकर्ता ईमेल
screenshot,Screenshot,Captura de pantalla,لقطة الشاشة,Capture d'écran,स्क्रीनशॉट
enter Receiver Email Address,Enter Receiver Email Address,Ingrese la dirección de correo electrónico del destinatario,أدخل عنوان البريد الإلكتروني للمستلم,Entrez l'adresse e-mail du destinataire,प्राप्तकर्ता का ईमेल पता दर्ज करें
transfer Success Text,"Your money has been transfer Successfully, Thanks for using LibCard.",Su dinero se ha transferido correctamente. Gracias por utilizar LibCard.,لقد تم تحويل أموالك بنجاح، شكرًا لاستخدامك LibCard.,"Votre argent a été transféré avec succès, merci d'utiliser LibCard.","आपका पैसा सफलतापूर्वक स्थानांतरित कर दिया गया है, लिबकार्ड का उपयोग करने के लिए धन्यवाद।"
success Snack,Success,Éxito,نجاح,Succès,सफलता
dismiss,Dismiss,Despedir,رفض,Rejeter,नकार देना
transfer Money,Transfer Money,Transferir dinero,تحويل الأموال,Transférer de l'argent,धन हस्तांतरण
add Subtract Balance,Add Subtract Balance,Sumar Restar Saldo,إضافة طرح الرصيد,Ajouter un solde soustrait,शेष जोड़ें घटाएँ
visa,VISA,VISA,فيزا,VISA,वीज़ा
my Wallet,My Wallet,Mi billetera,محفظتي,Mon portefeuille,मेरा बटुआ
evidence Note,Evidence Note,Nota de evidencia,مذكرة الأدلة,Note sur les preuves,साक्ष्य नोट
razorpay Payment,Razorpay Payment,Pago de Razorpay,دفع Razorpay,Paiement Razorpay,रेज़रपे भुगतान
flutterwave Payment,Flutterwave Payment,Pago de onda fluida,الدفع Flutterwave,Paiement Flutterwave,फ़्लटरवेव भुगतान
sslcommerz Payment,Sslcommerz Payment,Pago Sslcommerz,الدفع عبر Sslcommerz,Paiement SSLcommerz,Sslcommerz भुगतान
new Password,New Password,Nueva contraseña,كلمة المرور الجديدة,Nouveau mot de passe,नया पासवर्ड
confirm Password,Confirm Password,confirmar Contraseña,تأكيد كلمة المرور,Confirmez le mot de passe,पासवर्ड की पुष्टि कीजिये
first Name,First Name,Nombre de pila,الاسم الأول,Prénom,पहला नाम
last Name,Last Name,Apellido,اسم العائلة,Nom de famille,उपनाम
make Default,Make Default,Establecer como predeterminado,جعل الافتراضي,Par défaut,डिफ़ॉल्ट बनाना
qrpay Payment,Qrpay Payment,Pago Qrpay,الدفع Qrpay,Paiement Qrpay,क्यूआरपी भुगतान
change Language,Change Language,Cambiar idioma,تغيير اللغة,Changer de langue,भाषा बदलें
Login Successful,Login Successful,Iniciar sesión exitosamente,تم تسجيل الدخول بنجاح,Connexion réussie,लॉग इन सफल
User doesn't exists,User doesn't exists,El usuario no existe,المستخدم غير موجود,L'utilisateur n'existe pas,उपयोगकर्ता मौजूद नहीं है
Account Has been Suspended,Account Has been Suspended,La cuenta ha sido suspendida,لقد تم تعليق الحساب,Le compte a été suspendu,खाता निलंबित कर दिया गया है
Incorrect Password,Incorrect Password,Contraseña incorrecta,كلمة المرور غير صحيحة,Mot de passe incorrect,गलत पासवर्ड
Something went wrong! Please try again,Something went wrong! Please try again,¡Algo salió mal! Por favor inténtalo de nuevo,حدث خطأ ما! يرجى المحاولة مرة أخرى,Quelque chose s'est mal passé ! Veuillez réessayer,कुछ गलत हो गया! कृपया पुन: प्रयास करें
Registration Successful,Registration Successful,Registro exitoso,تم التسجيل بنجاح,Inscription réussie,सफल पंजीकरण
Logout Successful,Logout Successful,Cerrar sesión exitosamente,تم تسجيل الخروج بنجاح,Déconnexion réussie,लॉगआउट सफल
Verification code sent to your email address,Verification code sent to your email address,Código de verificación enviado a su dirección de correo electrónico,تم إرسال رمز التحقق إلى عنوان بريدك الإلكتروني,Code de vérification envoyé à votre adresse e-mail,सत्यापन कोड आपके ईमेल पते पर भेजा गया
Verification Otp is Invalid,Verification Otp is Invalid,La verificación OTP no es válida,التحقق من Otp غير صالح,La vérification Otp est invalide,सत्यापन ओटीपी अमान्य है
"Your verification is successful, Now you can recover your password","Your verification is successful, Now you can recover your password","Tu verificación fue exitosa, ahora puedes recuperar tu contraseña",تم التحقق بنجاح، الآن يمكنك استعادة كلمة المرور الخاصة بك,"Votre vérification est réussie, vous pouvez maintenant récupérer votre mot de passe","आपका सत्यापन सफल है, अब आप अपना पासवर्ड पुनर्प्राप्त कर सकते हैं"
invalid request,invalid request,solicitud no válida,طلب غير صالح,demande invalide,अमान्य अनुरोध
Add Money Information!,Add Money Information!,¡Agregue información de dinero!,إضافة معلومات المال!,Ajoutez des informations financières !,धन संबंधी जानकारी जोड़ें!
Gateway Information is not available. Please provide payment gateway currency alias,Gateway Information is not available. Please provide payment gateway currency alias,La información de la puerta de enlace no está disponible. Proporcione el alias de moneda de la pasarela de pago,معلومات البوابة غير متوفرة. يرجى تقديم الاسم المستعار لعملة بوابة الدفع,Les informations sur la passerelle ne sont pas disponibles. Veuillez fournir l'alias de la devise de la passerelle de paiement,गेटवे सूचना उपलब्ध नहीं है. कृपया भुगतान गेटवे मुद्रा उपनाम प्रदान करें
User wallet not found,User wallet not found,Cartera de usuario no encontrada,لم يتم العثور على محفظة المستخدم,Portefeuille utilisateur introuvable,उपयोगकर्ता वॉलेट नहीं मिला
Please follow the transaction limit,Please follow the transaction limit,Siga el límite de transacciones,يرجى اتباع حد المعاملة,Veuillez respecter la limite de transaction,कृपया लेनदेन सीमा का पालन करें
Add Money Inserted Successfully,Add Money Inserted Successfully,Agregue dinero insertado exitosamente,تم إضافة الأموال بنجاح,Ajouter de l'argent inséré avec succès,सफलतापूर्वक डाला गया पैसा जोड़ें
Transaction failed. Record didn\'t saved properly. Please try again,Transaction failed. Record didn\'t saved properly. Please try again,La transacción falló. El registro no se guardó correctamente. Por favor inténtalo de nuevo,فشلت المعاملة. لم يتم حفظ السجل بشكل صحيح. يرجى المحاولة مرة أخرى,La transaction a échoué. L'enregistrement n'a pas été enregistré correctement. Veuillez réessayer,लेन - देन विफल। रिकॉर्ड ठीक से सहेजा नहीं गया. कृपया पुन: प्रयास करें
"Payment successful, please go back your app","Payment successful, please go back your app","Pago exitoso, regrese a su aplicación",تم الدفع بنجاح، يرجى الرجوع إلى تطبيقك,"Paiement réussi, veuillez revenir à votre application","भुगतान सफल, कृपया अपना ऐप वापस जाएं"
"Payment Cancelled,please go back your app","Payment Cancelled,please go back your app","Pago cancelado, regrese a su aplicación",تم إلغاء الدفع، يرجى العودة إلى التطبيق الخاص بك,"Paiement annulé, veuillez revenir à votre application","भुगतान रद्द कर दिया गया, कृपया अपना ऐप वापस लें"
"Payment Failed,please go back your app","Payment Failed,please go back your app","Pago fallido, regrese a su aplicación",فشل الدفع، يرجى العودة إلى التطبيق الخاص بك,"Échec du paiement, veuillez revenir à votre application","भुगतान विफल, कृपया अपना ऐप वापस जाएं"
Request user doesn\'t save properly. Please try again,Request user doesn\'t save properly. Please try again,El usuario solicitado no se guarda correctamente. Por favor inténtalo de nuevo,طلب المستخدم لا يحفظ بشكل صحيح. يرجى المحاولة مرة أخرى,L'utilisateur demandé n'enregistre pas correctement. Veuillez réessayer,अनुरोध उपयोगकर्ता ठीक से सहेज नहीं पाता है। कृपया पुन: प्रयास करें
You can resend verification code after,You can resend verification code after,Puedes reenviar el código de verificación después,يمكنك إعادة إرسال رمز التحقق بعد ذلك,Vous pouvez renvoyer le code de vérification après,आप इसके बाद सत्यापन कोड दोबारा भेज सकते हैं
Verification code send success,Verification code send success,El código de verificación se envió correctamente,تم إرسال رمز التحقق بنجاح,Code de vérification envoyé avec succès,सत्यापन कोड सफलतापूर्वक भेजा गया
Verification code does not match,Verification code does not match,El código de verificación no coincide,رمز التحقق غير متطابق,Le code de vérification ne correspond pas,सत्यापन कोड मेल नहीं खाता
Session expired. Please try again,Session expired. Please try again,La sesión expiró. Por favor inténtalo de nuevo,انتهت صلاحية الجلسة. يرجى المحاولة مرة أخرى,Session expirée. Veuillez réessayer,सत्र समाप्त हुआ। कृपया पुन: प्रयास करें
Account successfully verified,You are already KYC Verified User,Ya eres usuario verificado de KYC,أنت بالفعل مستخدم تم التحقق منه KYC,Vous êtes déjà un utilisateur vérifié KYC,आप पहले से ही केवाईसी सत्यापित उपयोगकर्ता हैं
You are already KYC Verified User,,#REF!,#REF!,#VALUE!,#VALUE!
Your KYC information is submitted. Please wait for admin confirmation,Your KYC information is submitted. Please wait for admin confirmation,#VALUE!,#VALUE!,Vos informations KYC sont soumises. Veuillez attendre la confirmation de l'administrateur,आपकी केवाईसी जानकारी जमा कर दी गई है। कृपया व्यवस्थापक पुष्टि के लिए प्रतीक्षा करें
User KYC section is under maintenance,User KYC section is under maintenance,La sección KYC del usuario está en mantenimiento,قسم KYC للمستخدم قيد الصيانة,La section KYC de l'utilisateur est en cours de maintenance,उपयोगकर्ता केवाईसी अनुभाग रखरखाव के अधीन है
User KYC input fields fetch successfully!,User KYC input fields fetch successfully!,¡Los campos de entrada KYC del usuario se recuperaron correctamente!,تم جلب حقول إدخال KYC للمستخدم بنجاح!,Les champs de saisie KYC de l'utilisateur sont récupérés avec succès !,उपयोगकर्ता केवाईसी इनपुट फ़ील्ड सफलतापूर्वक प्राप्त हो गईं!
Virtual Card Stripe,Virtual Card Stripe,Franja de tarjeta virtual,شريط البطاقة الافتراضية,Bande de carte virtuelle,वर्चुअल कार्ड स्ट्राइप
"Sorry, card not found!","Sorry, card not found!","Lo sentimos, ¡tarjeta no encontrada!",عذرا، لم يتم العثور على البطاقة!,"Désolé, carte introuvable !","क्षमा करें, कार्ड नहीं मिला!"
Virtual Card Details,Virtual Card Details,Detalles de la tarjeta virtual,تفاصيل البطاقة الافتراضية,Détails de la carte virtuelle,वर्चुअल कार्ड विवरण
Virtual Card Transactions,Virtual Card Transactions,Transacciones con tarjeta virtual,معاملات البطاقة الافتراضية,Transactions par carte virtuelle,वर्चुअल कार्ड लेनदेन
Something Is Wrong In Your Card,Something Is Wrong In Your Card,Algo anda mal en su tarjeta,هناك خطأ ما في بطاقتك,Quelque chose ne va pas dans votre carte,आपके कार्ड में कुछ गड़बड़ है
Virtual Card Sensitive Data,Virtual Card Sensitive Data,Datos confidenciales de la tarjeta virtual,البيانات الحساسة للبطاقة الافتراضية,Données sensibles de la carte virtuelle,वर्चुअल कार्ड संवेदनशील डेटा
"Sorry,This Card Is Already Inactive","Sorry,This Card Is Already Inactive","Lo sentimos, esta tarjeta ya está inactiva",عذرًا، هذه البطاقة غير نشطة بالفعل,"Désolé, cette carte est déjà inactive","क्षमा करें, यह कार्ड पहले से ही निष्क्रिय है"
Card Inactive Successfully!,Card Inactive Successfully!,¡Tarjeta inactiva exitosamente!,البطاقة غير نشطة بنجاح!,Carte inactive avec succès !,कार्ड सफलतापूर्वक निष्क्रिय!
Card Active Successfully!,Card Active Successfully!,¡Tarjeta activa con éxito!,تم تنشيط البطاقة بنجاح!,Carte active avec succès !,कार्ड सफलतापूर्वक सक्रिय!
Please submit kyc information!,Please submit kyc information!,¡Por favor envíe información de kyc!,يرجى تقديم معلومات kyc!,Veuillez soumettre les informations kyc !,कृपया केवाईसी जानकारी जमा करें!
Please wait before admin approved your kyc information,Please wait before admin approved your kyc information,Espere antes de que el administrador apruebe su información de kyc.,يرجى الانتظار قبل أن يوافق المسؤول على معلومات kyc الخاصة بك,Veuillez patienter avant que l'administrateur n'approuve vos informations kyc,कृपया व्यवस्थापक द्वारा आपकी केवाईसी जानकारी को मंजूरी देने से पहले प्रतीक्षा करें
"Admin rejected your kyc information, Please re-submit again","Admin rejected your kyc information, Please re-submit again",El administrador rechazó su información de kyc. Vuelva a enviarla,رفض المشرف معلومات kyc الخاصة بك، يرجى إعادة الإرسال مرة أخرى,L'administrateur a rejeté vos informations kyc. Veuillez les soumettre à nouveau.,"एडमिन ने आपकी केवाईसी जानकारी अस्वीकार कर दी, कृपया दोबारा सबमिट करें"
Default Currency Not Setup Yet,Default Currency Not Setup Yet,Moneda predeterminada aún no configurada,العملة الافتراضية لم يتم إعدادها بعد,La devise par défaut n'est pas encore configurée,डिफ़ॉल्ट मुद्रा अभी सेटअप नहीं हुई है
"Sorry, insufficient balance","Sorry, insufficient balance","Lo sentimos, saldo insuficiente",عذرا، الرصيد غير كاف,"Désolé, solde insuffisant","क्षमा करें, अपर्याप्त संतुलन"
Card Buy Successfully,Card Buy Successfully,Compra con tarjeta exitosamente,تم شراء البطاقة بنجاح,Achat de carte réussi,कार्ड सफलतापूर्वक खरीदें
Virtual Card Sudo,Virtual Card Sudo,Sudo de tarjeta virtual,البطاقة الافتراضية سودو,Carte virtuelle Sudo,वर्चुअल कार्ड सूडो
Fess & Charges,Fess & Charges,Tarifas y cargos,الرسوم والرسوم,Tarifs et frais,शुल्क और शुल्क
Status Updated Successfully,Status Updated Successfully,Estado actualizado exitosamente,تم تحديث الحالة بنجاح,Statut mis à jour avec succès,स्थिति सफलतापूर्वक अपडेट की गई
"Currency doesn't supported for creating virtual card, Please contact","Currency doesn't supported for creating virtual card, Please contact",La moneda no es compatible para crear una tarjeta virtual. Comuníquese con nosotros.,العملة غير مدعومة لإنشاء بطاقة افتراضية، يرجى الاتصال,"La devise n'est pas prise en charge pour la création de carte virtuelle, veuillez contacter","वर्चुअल कार्ड बनाने के लिए मुद्रा समर्थित नहीं है, कृपया संपर्क करें"
"Haven't any debit account this currency, Please contact with owner","Haven't any debit account this currency, Please contact with owner","No tengo ninguna cuenta de débito en esta moneda. Por favor, póngase en contacto con el propietario.",ليس لديك أي حساب خصم بهذه العملة، يرجى الاتصال بالمالك,Je n'ai pas de compte débiteur dans cette devise. Veuillez contacter le propriétaire.,"इस मुद्रा में कोई डेबिट खाता नहीं है, कृपया स्वामी से संपर्क करें"
"Customer doesn't created properly,Contact with owner","Customer doesn't created properly,Contact with owner",El cliente no se creó correctamente. Contacte con el propietario.,لم يتم إنشاء العميل بشكل صحيح، اتصل بالمالك,"Le client n'a pas créé correctement, contactez le propriétaire","ग्राहक ठीक से नहीं बना, मालिक से संपर्क करें"
Virtual Card Flutterwave,Virtual Card Flutterwave,Tarjeta virtual Flutterwave,البطاقة الافتراضية Flutterwave,Carte virtuelle Flutterwave,वर्चुअल कार्ड फ़्लटरवेव
Card block successfully!,Card block successfully!,¡Bloqueo de tarjeta exitoso!,تم حظر البطاقة بنجاح!,Blocage de carte réussi !,कार्ड सफलतापूर्वक ब्लॉक हो गया!
Card has been blocked previously,Card has been blocked previously,La tarjeta ha sido bloqueada anteriormente,لقد تم حظر البطاقة سابقاً,La carte a déjà été bloquée,कार्ड पहले भी ब्लॉक किया जा चुका है
This Card has been terminated previously,This Card has been terminated previously,Esta Tarjeta ha sido cancelada anteriormente,تم إنهاء هذه البطاقة سابقًا,Cette carte a déjà été résiliée,यह कार्ड पहले ही समाप्त कर दिया गया है
Card unblock successfully!,Card unblock successfully!,¡Desbloqueo de tarjeta exitoso!,تم إلغاء حظر البطاقة بنجاح!,Carte débloquée avec succès !,कार्ड सफलतापूर्वक अनब्लॉक!
Card has been unblocked previously,Card has been unblocked previously,La tarjeta ha sido desbloqueada anteriormente.,تم إلغاء حظر البطاقة سابقًا,La carte a déjà été débloquée,कार्ड पहले ही अनब्लॉक कर दिया गया है
Card Funded Successfully,Card Funded Successfully,Tarjeta financiada exitosamente,تم تمويل البطاقة بنجاح,Carte financée avec succès,कार्ड से सफलतापूर्वक फ़ंडिंग हुई
Buy Card,Buy Card,Comprar Tarjeta,شراء البطاقة,Acheter une carte,कार्ड खरीदें
Buy card successful,Buy card successful,Compra tarjeta exitosa,تم شراء البطاقة بنجاح,Achat de la carte réussi,कार्ड ख़रीदना सफल
Card Fund,Card Fund,Fondo de tarjeta,صندوق البطاقة,Fonds de carte,कार्ड फंड
Card fund successful card:,Card fund successful card:,Fondo de tarjeta tarjeta exitosa:,بطاقة صندوق البطاقة الناجحة:,Carte avec succès du fonds de la carte :,कार्ड फंड सफल कार्ड:
Transfer Money Information,Transfer Money Information,Transferir información de dinero,معلومات تحويل الأموال,Transférer des informations sur l'argent,धन हस्तांतरण की जानकारी
User not found,User not found,Usuario no encontrado,لم يتم العثور على المستخدم,Utilisateur introuvable,उपयोगकर्ता नहीं मिला
Can\'t transfer money to your own,Can\'t transfer money to your own,No puedo transferir dinero a tu cuenta,لا يمكن تحويل الأموال إلى حسابك,Impossible de transférer de l'argent sur le vôtre,आप अपने खाते में पैसे हस्तांतरित नहीं कर सकते
Valid user for transfer money,Valid user for transfer money,Usuario válido para transferir dinero,مستخدم صالح لتحويل الأموال,Utilisateur valide pour transférer de l'argent,धन हस्तांतरण के लिए वैध उपयोगकर्ता
Sender wallet not found,Sender wallet not found,Cartera del remitente no encontrada,لم يتم العثور على محفظة المرسل,Portefeuille de l'expéditeur introuvable,प्रेषक बटुआ नहीं मिला
Receiver not exist,Receiver not exist,El receptor no existe,المتلقي غير موجود,Le récepteur n'existe pas,रिसीवर मौजूद नहीं है
Receiver wallet not found,Receiver wallet not found,Cartera del receptor no encontrada,لم يتم العثور على محفظة المتلقي,Portefeuille du destinataire introuvable,रिसीवर वॉलेट नहीं मिला
Transfer Money successful to,Transfer Money successful to,Transferir dinero exitosamente a,تم تحويل الأموال بنجاح إلى,Transfert d'argent réussi vers,में पैसे ट्रांसफर करना सफल रहा
Transfer Money to,Transfer Money to,Transferir dinero a,تحويل الأموال إلى,Transférer de l'argent vers,को पैसे ट्रांसफर करें
Transfer Money from,Transfer Money from,Transferir dinero desde,تحويل الأموال من,Transférer de l'argent depuis,से पैसे ट्रांसफर करें
User Dashboard,User Dashboard,Panel de usuario,لوحة تحكم المستخدم,Tableau de bord utilisateur,उपयोगकर्ता डैशबोर्ड
User Profile,User Profile,Perfil de usuario,ملف تعريف المستخدم,Profil utilisateur,उपयोगकर्ता रूपरेखा
Profile successfully updated!,Profile successfully updated!,¡Perfil actualizado exitosamente!,تم تحديث الملف الشخصي بنجاح!,Profil mis à jour avec succès !,प्रोफ़ाइल सफलतापूर्वक अपडेट की गई!
Current password didn\'t match,Current password didn\'t match,La contraseña actual no coincide,كلمة المرور الحالية غير متطابقة,Le mot de passe actuel ne correspond pas,वर्तमान पासवर्ड मेल नहीं खाता
Password successfully updated!,Password successfully updated!,¡Contraseña actualizada exitosamente!,تم تحديث كلمة المرور بنجاح!,Mot de passe mis à jour avec succès !,पासवर्ड सफलतापूर्वक अपडेट किया गया!
User deleted successfully,User deleted successfully,Usuario eliminado exitosamente,تم حذف المستخدم بنجاح,Utilisateur supprimé avec succès,उपयोगकर्ता सफलतापूर्वक हटा दिया गया
All Transactions,All Transactions,Todas las transacciones,كل الحركات المالية,toutes transactions,सभी लेन - देन
Withdraw Information!,Withdraw Information!,¡Retirar información!,سحب المعلومات!,Retirez les informations !,जानकारी वापस लें!
Invalid Gateway!,Invalid Gateway!,¡Puerta de enlace no válida!,بوابة غير صالحة!,Passerelle invalide !,अमान्य गेटवे!
Withdraw Money Inserted Successfully,Withdraw Money Inserted Successfully,Retirar dinero ingresado exitosamente,تم سحب الأموال التي تم إدخالها بنجاح,Retirer l'argent inséré avec succès,डाला गया पैसा सफलतापूर्वक निकाल लें
"Sorry, your payment information is invalid","Sorry, your payment information is invalid","Lo sentimos, tu información de pago no es válida.",عذرًا، معلومات الدفع الخاصة بك غير صالحة,"Désolé, vos informations de paiement ne sont pas valides","क्षमा करें, आपकी भुगतान जानकारी अमान्य है"
"Invalid request, it is not manual gateway request","Invalid request, it is not manual gateway request","Solicitud no válida, no es una solicitud de puerta de enlace manual",طلب غير صالح، فهو ليس طلب بوابة يدوياً,"Demande invalide, il ne s'agit pas d'une demande de passerelle manuelle","अमान्य अनुरोध, यह मैन्युअल गेटवे अनुरोध नहीं है"
Withdraw Money Request Send To Admin Successful,Withdraw Money Request Send To Admin Successful,Solicitud de retiro de dinero enviada al administrador exitosamente,تم إرسال طلب سحب الأموال إلى المشرف بنجاح,Demande de retrait d'argent envoyée à l'administrateur avec succès,पैसे निकालने का अनुरोध एडमिन को भेजें सफल
Your Withdraw Request Send To Admin,Your Withdraw Request Send To Admin,Su solicitud de retiro Enviar al administrador,أرسل طلب السحب الخاص بك إلى المشرف,Votre demande de retrait envoyée à l'administrateur,आपका निकासी अनुरोध व्यवस्थापक को भेजें
Successful,Successful,Exitoso,ناجح,Réussi,सफल
Data fetched successfully,Data fetched successfully,Datos obtenidos correctamente,تم جلب البيانات بنجاح,Données récupérées avec succès,डेटा सफलतापूर्वक लाया गया
Language Data Fetch Successfully!,Language Data Fetch Successfully!,¡Obtención de datos de idioma exitosamente!,تم جلب بيانات اللغة بنجاح!,Récupération des données linguistiques avec succès !,भाषा डेटा सफलतापूर्वक प्राप्त हुआ!
Payment gateway not available,Payment gateway not available,Pasarela de pago no disponible,بوابة الدفع غير متوفرة,Passerelle de paiement non disponible,भुगतान गेटवे उपलब्ध नहीं है
Your Wallet,Your Wallet,Tu billetera,محفظتك,Votre portefeuille,आपका बटुआ
balance  has been added,balance has been added,se ha agregado saldo,تمت إضافة الرصيد,le solde a été ajouté,शेष जोड़ा गया है
Successfully added money,Successfully added money,Dinero agregado exitosamente,تمت إضافة الأموال بنجاح,Argent ajouté avec succès,सफलतापूर्वक पैसा जोड़ा गया
Manual Payment Via,Manual Payment Via,Pago manual mediante,الدفع يدوي عبر,Paiement manuel via,के माध्यम से मैन्युअल भुगतान
Add money cancelled,Add money cancelled,Agregar dinero cancelado,تم إلغاء إضافة الأموال,Ajouter de l'argent annulé,पैसा जोड़ना रद्द
Transaction failed,Transaction failed,La transacción falló,فشلت المعاملة,La transaction a échoué,लेन - देन विफल
Your Payment Canceled Successfully,Your Payment Canceled Successfully,Su pago cancelado exitosamente,تم إلغاء دفعتك بنجاح,Votre paiement annulé avec succès,आपका भुगतान सफलतापूर्वक रद्द कर दिया गया
Add Money request send to admin successfully,Add Money request send to admin successfully,Agregar solicitud de dinero enviada al administrador con éxito,تم إرسال طلب إضافة أموال إلى المشرف بنجاح,La demande d'ajout d'argent a été envoyée à l'administrateur avec succès,"धन अनुरोध जोड़ें, व्यवस्थापक को सफलतापूर्वक भेजें"
Password Reset Token Expired,Password Reset Token Expired,El token de restablecimiento de contraseña expiró,انتهت صلاحية رمز إعادة تعيين كلمة المرور,Jeton de réinitialisation du mot de passe expiré,पासवर्ड रीसेट टोकन समाप्त हो गया
Verify User,Verify User,Verificar usuario,التحقق من المستخدم,Vérifier l'utilisateur,उपयोगकर्ता सत्यापित करें
Request token is invalid,Request token is invalid,El token de solicitud no es válido,رمز الطلب غير صالح,Le jeton de demande n'est pas valide,अनुरोध टोकन अमान्य है
Invalid Request. Please try again,Invalid Request. Please try again,Solicitud no válida. Por favor inténtalo de nuevo,طلب غير صالح. يرجى المحاولة مرة أخرى,Demande invalide. Veuillez réessayer,अमान्य अनुरोध। कृपया पुन: प्रयास करें
Password reset success. Please login with new password,Password reset success. Please login with new password,Restablecimiento de contraseña exitoso. Por favor inicie sesión con nueva contraseña,نجاح إعادة تعيين كلمة المرور. الرجاء تسجيل الدخول بكلمة المرور الجديدة,Réinitialisation réussie du mot de passe. Veuillez vous connecter avec un nouveau mot de passe,पासवर्ड रीसेट सफल. कृपया नए पासवर्ड से लॉगिन करें
